epoch,train_loss,train_mae_m,train_rmse_m,val_loss,val_mae_m,val_rmse_m,train_valid_pixels,val_valid_pixels
1,0.003926237298098083,4.0577732533580395,7.129546842401513,0.004623196805672099,4.32515424885809,7.951069819437249,88035,22331
2,0.0036460091553938887,3.8983561558435564,6.94137511778973,0.004739500776243706,4.002422667410214,8.070964952482864,88035,22331
3,0.003489345506144067,3.57499862448174,6.744571800477426,0.004596114042215049,4.021105050154493,7.951436125048728,88035,22331
4,0.0032677491932796934,3.555793860396433,6.558455262306118,0.0042719161525989575,4.359052963089427,7.6513310455586465,88035,22331
5,0.003104688919847831,3.5997710427670815,6.329070538508068,0.004132184898480773,4.218269830896512,7.525319868132273,88035,22331
6,0.002976372983539477,3.448611747103425,6.308014679127078,0.0039495663562168675,3.9753136667496975,7.376466140777105,88035,22331
7,0.0031087496608961374,3.4888558616601353,6.3459619189957515,0.003915111728323002,3.9043148048116967,7.33939986785485,88035,22331
8,0.003148925529482464,3.699783333688306,6.395897055774593,0.00392626670266812,3.755022927418723,7.365194479898354,88035,22331
9,0.002902794755452002,3.4986957757390527,6.158242709976269,0.003923920119026055,3.7610048811069814,7.356183525349137,88035,22331
10,0.0029343410375683257,3.401190389032061,6.191021676310529,0.003965057626677056,3.910016091350029,7.392549936800509,88035,22331
11,0.0029377296062496803,3.451784513084285,6.224420777756928,0.0038537304305161038,3.873731356494335,7.297453637171889,88035,22331
12,0.002924684182895968,3.525523295954734,6.222976336632164,0.003904697524073223,3.7231418855094933,7.352776777902548,88035,22331
13,0.0028324936089726784,3.440193874861561,6.0868149498986925,0.0038359295576810837,3.7106724886368725,7.282383044410462,88035,22331
14,0.003258287896945452,3.5566299536405976,6.486557943457006,0.00379148496237273,3.7252817866698757,7.224364381052734,88035,22331
15,0.002914920885814354,3.7347910055304707,6.169516868522272,0.0038202049715134003,3.8028484260948905,7.243427900115201,88035,22331
16,0.0028682591898056367,3.3203962734991763,6.114714005037897,0.003878131741657853,3.7830589868064575,7.31530018940371,88035,22331
17,0.0028345943331563226,3.475614113438547,6.160168532622724,0.003794766050608208,3.784477541030406,7.233584840682469,88035,22331
18,0.002644479371762524,3.2326195391925086,5.981417917232558,0.00389221361062179,3.702104924908199,7.3393308928275705,88035,22331
19,0.002647950731140251,3.341234587539757,5.9709709087172085,0.0039842774664672715,3.7481353870460348,7.410217508580481,88035,22331
20,0.0028257149533601478,3.495616733578974,6.089953798848369,0.0038041601656004786,3.7516001263658145,7.231259746324145,88035,22331
