epoch,train_loss,train_mae_m,train_rmse_m,val_loss,val_mae_m,val_rmse_m,train_valid_pixels,val_valid_pixels
1,0.0037562260064684474,3.9990943837515087,6.896660525943573,0.004415203254514684,3.6871692077238865,7.666827268638858,174827,44029
2,0.003193921113658386,3.5066623339608585,6.386614672456574,0.00358880078420043,3.4573692729507823,6.920028473440298,174827,44029
3,0.0030206665978766978,3.3467479357718632,6.2178243952855565,0.0032654005529669425,3.3335677240071884,6.60350258425229,174827,44029
4,0.00295673138073956,3.4460079810594904,6.165146831182928,0.0032725032263745866,3.3047540621309253,6.5905921579943,174827,44029
5,0.0029391031566774473,3.3130881316333434,6.169943158561659,0.003097212213712434,3.28970354588737,6.415011143446451,174827,44029
6,0.0027762434522931776,3.2813545062136424,5.965147276779306,0.0031206790978709855,3.2262605638826116,6.44527583189296,174827,44029
7,0.002859660266646339,3.3064748361058363,6.047604081809137,0.0032017392804846168,3.3748668979181335,6.531790350817746,174827,44029
8,0.002741339926918348,3.2519928908739066,5.959646554487661,0.0029692253253112235,3.1238177181516726,6.295993974952633,174827,44029
9,0.002625157057385271,3.1441176994346556,5.812497384126184,0.0030582345983323953,3.190553895408424,6.390354023618211,174827,44029
10,0.002548571205503928,3.0868047468443804,5.738265252909507,0.002961354252571861,3.1477605447191057,6.294452966508253,174827,44029
11,0.0024111426513021192,2.9601022323139445,5.5773628957016035,0.003007546862742553,3.2280337870352493,6.311676590167143,174827,44029
12,0.0025389201958508543,3.064753142570942,5.708356177386115,0.0029562229950291417,3.1267181280732586,6.279925602797009,174827,44029
13,0.0024529214521559575,2.97577603614037,5.6199981590593096,0.003017510966553042,3.1818500484055963,6.343830490759275,174827,44029
14,0.00241487318999134,2.9880636632481683,5.564428356103708,0.0029451996088027954,3.171849980978446,6.280854420225307,174827,44029
15,0.0025384622325267023,3.0615439823636366,5.688324328619854,0.0028674486481274166,3.2206070413108407,6.18069171853147,174827,44029
16,0.002351552936791753,2.891442621893715,5.473511622513257,0.00291839624211813,3.1492522373393106,6.258327667037025,174827,44029
17,0.0023205139077617787,2.937938111676114,5.45011996147206,0.002805566027139624,3.0532837731949396,6.137339601224655,174827,44029
18,0.0023683034244944188,2.9129135851977956,5.49633390720283,0.0028812626066307225,3.1117904889391084,6.19520142421937,174827,44029
19,0.00227583910843047,2.8935605247437466,5.387329054599855,0.002835255329652379,3.1049804133000407,6.162877853707759,174827,44029
20,0.0021992223119013943,2.849779950992624,5.328068913284294,0.0027737594209611416,3.0211034116008766,6.099547387624939,174827,44029
21,0.002139492101074817,2.7105804059155623,5.254480100018878,0.002911256238197287,3.086338536284324,6.228329914820287,174827,44029
22,0.0022308183930969485,2.8448048039097222,5.332872051963752,0.002836786074719081,3.0284416591905337,6.160127976208415,174827,44029
23,0.0022091752325650305,2.8394095875404686,5.2973789884189335,0.0028574827980871,3.1264716640949715,6.182950123911487,174827,44029
24,0.002133711098091832,2.752843318636066,5.2469799902856735,0.0027297338820062578,3.001468048757637,6.040130832589696,174827,44029
25,0.002118411498183074,2.734815502432405,5.180122657836141,0.002766319647586594,3.0709534128074676,6.089855114876436,174827,44029
26,0.0021043831681405814,2.707231369707625,5.185653252589165,0.0027555011329241097,3.089902282976845,6.055638237809962,174827,44029
27,0.0021190985329061127,2.839301484020632,5.235815962624406,0.002901660317244629,3.1097330736559994,6.237315465780293,174827,44029
28,0.002173476452298928,2.765460462342773,5.278404509242072,0.002909842994995415,3.2013762413693247,6.190879245796988,174827,44029
29,0.0020365021021765037,2.7211261268729228,5.117435979150453,0.002839733147993684,3.0450931931936904,6.144507613875412,174827,44029
30,0.0019140288095513824,2.6214789969155223,4.935768391711047,0.002825968297353635,3.0567910718290787,6.1463569587369795,174827,44029
