sample_index,sample_token,depth_source,pseudo_points,lidar_points,pseudo_to_gt_mean_nn,pseudo_to_gt_median_nn,pseudo_to_gt_p90_nn,pseudo_to_gt_p95_nn,gt_to_pseudo_mean_nn,gt_to_pseudo_median_nn,gt_to_pseudo_p90_nn,gt_to_pseudo_p95_nn,bev_iou
0,ca9a282c9e77460f8360f564131a8af5,depth_pro,14156,21992,0.7261050343513489,0.5051941871643066,1.5779455304145813,2.1537711024284363,1.2871568202972412,0.7926781177520752,3.4653812885284427,4.495318412780762,0.2273826802128689
0,ca9a282c9e77460f8360f564131a8af5,refined,15562,21992,0.9327430725097656,0.6725178360939026,1.9447752594947814,2.403083825111388,1.3004924058914185,0.8839113116264343,2.99344654083252,3.456326341629029,0.1849033319621555
1,39586f9d59004284a7114a68825e8eec,depth_pro,14116,22158,0.7614215612411499,0.5035228729248047,1.749679446220398,2.366680145263672,1.3247212171554565,0.9057371616363525,3.1551264762878413,3.8346869945526123,0.242771555092472
1,39586f9d59004284a7114a68825e8eec,refined,15425,22158,0.9002957940101624,0.6597107648849487,1.9640215396881104,2.495392847061157,1.4430896043777466,1.0798394680023193,3.41934161186218,4.026606559753418,0.20066225165562915
2,356d81f38dd9473ba590f39e266f54e5,depth_pro,12407,22558,0.777683436870575,0.515702486038208,1.8450247287750243,2.343391227722168,1.2064485549926758,0.7849526405334473,3.2415553569793696,3.4180712699890137,0.21568627450980393
2,356d81f38dd9473ba590f39e266f54e5,refined,14824,22558,0.79569011926651,0.5400135517120361,1.7594686985015875,2.25788105726242,1.273196816444397,0.9498105049133301,3.243198871612549,3.257894515991211,0.19559961315280464
3,e0845f5322254dafadbbed75aaa07969,depth_pro,11603,23037,0.8102541565895081,0.45163965225219727,2.103987550735474,2.7884567499160764,0.9997324347496033,0.5265594124794006,2.9252090454101562,2.9363448143005373,0.21825629022820361
3,e0845f5322254dafadbbed75aaa07969,refined,13164,23037,0.8409742712974548,0.5493001937866211,1.9565477013587964,2.7094376564025873,1.2299941778182983,0.8384061455726624,3.469546318054199,3.787811040878296,0.17272492910543955
4,c923fe08b2ff4e27975d2bf30934383b,depth_pro,10695,23417,0.8024964332580566,0.4274241328239441,1.9394596576690675,2.601652789115905,1.0242183208465576,0.5614615678787231,2.9167304039001465,2.93074631690979,0.20572764465225016
4,c923fe08b2ff4e27975d2bf30934383b,refined,12263,23417,0.9133623242378235,0.5596145987510681,2.2948160648345963,3.078610682487487,1.2216941118240356,0.9360942244529724,2.8602120876312274,3.328092098236084,0.18953068592057762
